HIP,RA,Dec,pmRA,pmDec
145,0.45603512,-3.02750382,18.9,-10.25
154,0.490079,-6.01407212,46.62,-41.32
301,0.93495762,-17.33598771,28.57,-7.28
4366,13.99378853,27.20938091,-19.87,11.09
4371,14.00620874,-11.26652632,-26.79,-8.01
4427,14.17721554,60.71674038,25.65,-3.82
4436,14.18838148,38.49934462,152.78,36.82
4463,14.30166657,23.41764802,-43.72,-46.06
6193,19.86664622,27.26405858,26.21,-11.62
6242,20.02048422,58.23161078,-1.31,-2.19
6492,20.85395412,20.4689673,-5.59,-9.3
6537,21.00585424,-8.18325655,-78.38,-206.88
8198,26.34846064,9.15773579,70.82,38.99
10306,33.20035634,21.21099307,162.52,4.07
10324,33.24998125,8.8467173,-26.23,-14.4
12332,39.7041439,21.96140834,-7.08,-15.12
12387,39.87065299,0.32851065,14.44,-2.53
12390,39.89097607,-11.87215595,172.01,-236.31
12489,40.17114788,27.0609427,64.49,-27.29
14354,46.29413912,38.84027386,128.69,-106.61
14576,47.04221485,40.9556477,2.39,-1.44
14632,47.26674871,49.61327752,1262.29,-91.53
14668,47.37404785,44.8575437,173.01,-142.05
16537,53.23268409,-9.45826215,-976.44,17.97
16611,53.44698381,-21.63288274,44.91,-27.47
18532,59.4634614,40.01021467,12.61,-24.06
18543,59.50735988,-13.50851533,60.51,-111.34
18614,59.74125467,35.7910326,1.92,2.3
18673,59.98118081,-24.01621526,11.41,17.08
18724,60.17006562,12.49034659,-8.15,-11.98
20507,65.92021811,-3.74547033,-47.92,-56.73
20535,66.00923865,-34.01684639,73.77,57.57
20635,66.34235536,22.2938737,105.49,-44.14
20711,66.57693136,22.81358255,108.66,-45.83
22549,72.80151623,5.60510396,-3.62,1.03
22565,72.84359342,18.83986122,79.66,-32.76
22701,73.22362423,-5.45269507,-18.01,25.03
22797,73.56290198,2.44067205,1.43,0.23
22845,73.72386617,10.1508331,40.08,-128.37
24608,79.1723294,45.99799111,75.52,-427.13
24674,79.40162477,-6.84440942,-15.31,-9.57
24822,79.81917563,22.09649397,19.62,-81.08
24845,79.89385195,-13.1767885,-2.49,-4.74
24873,79.99593136,-12.31558519,-12.12,7.97
26634,84.91224946,-34.07410786,-0.1,-24.05
26640,84.93416238,25.89709109,9.75,-23.79
26727,85.18969642,-1.94257224,3.99,2.54
26777,85.323828,16.53414784,5.42,-14.54
28716,90.97993717,20.13845182,2.19,-2.81
28734,91.03006202,23.26334108,-2.6,-119.72
29034,91.88180321,-37.25292041,0.9,0.3
29038,91.89302018,14.7684717,4.95,-21.18
30788,97.04253297,-32.58007055,-13.78,24.24
30883,97.24077812,20.21213298,-5.98,-14.08
32768,102.48403461,-50.61455978,34.23,-65.85
32921,102.88769134,21.76114781,-6.11,-34.48
33018,103.19724251,33.96125399,-2.66,-47.67
33152,103.53313596,-24.18421076,-3.46,5.02
33160,103.54749079,-12.0386279,-139.04,-14.47
36917,113.845387,-28.36932346,-66.9,-18.71
36962,113.98060996,26.89574074,-39.58,-108.08
37096,114.34212614,-34.96853026,-13.65,16.53
37173,114.57519133,-25.36480433,-2.28,-6.7
37229,114.70779243,-26.8038363,-17.0,23.08
39177,120.19711413,17.30870304,-10.34,-2.73
