Name,PtolLon,PtolLat,HIP
1,60.166666666666664,66.0,11767
2,62.5,70.0,85822
3,70.16666666666667,74.33333333333333,82080
4,89.66666666666667,75.66666666666667,77055
5,93.66666666666667,77.66666666666667,79822
6,107.5,72.83333333333333,72607
7,116.16666666666667,74.83333333333333,75097
8,103.0,71.16666666666667,70692
1,85.33333333333333,39.833333333333336,41704
2,85.83333333333333,43.0,42080
3,86.33333333333333,43.0,42527
4,86.16666666666667,47.166666666666664,44390
5,86.66666666666667,47.0,45038
6,88.16666666666667,50.5,46977
7,90.5,43.833333333333336,45075
8,92.5,44.333333333333336,46733
9,99.0,42.0,48319
10,101.0,44.0,48402
11,100.66666666666667,35.0,46853
12,95.5,29.333333333333332,44127
13,96.33333333333333,28.333333333333332,44471
14,95.66666666666667,36.0,45493
15,95.83333333333333,33.0,44901
16,107.66666666666667,49.0,54061
17,112.16666666666667,44.5,53910
18,123.16666666666667,51.0,59774
19,123.0,46.5,58001
20,112.66666666666667,29.333333333333332,50372
21,114.16666666666667,28.25,50801
22,121.66666666666667,35.25,54539
23,129.83333333333334,25.833333333333332,55219
24,130.33333333333334,25.0,55203
25,132.16666666666666,53.5,62956
26,138.0,55.666666666666664,65378
27,149.83333333333334,54.0,67301
28,147.83333333333334,39.75,63125
29,140.16666666666666,41.333333333333336,61317
30,105.0,17.25,45860
31,103.33333333333333,19.166666666666668,45688
32,106.16666666666667,20.0,46952
33,102.16666666666667,22.5,44248
34,101.16666666666667,20.333333333333332,44700
35,90.0,22.25,41075
1,206.66666666666666,76.5,83608
2,221.83333333333334,78.5,85819
3,223.16666666666666,75.66666666666667,85670
4,237.33333333333334,80.33333333333333,87585
5,239.66666666666666,75.5,87833
6,264.6666666666667,82.33333333333333,90156
7,272.3333333333333,78.25,91755
8,268.8333333333333,80.33333333333333,90905
9,289.5,81.5,92512
10,338.0,81.66666666666667,95081
11,350.5,83.0,94376
12,7.666666666666667,78.83333333333333,97433
13,352.8333333333333,77.83333333333333,98702
14,10.666666666666666,80.5,96100
15,21.666666666666668,81.33333333333333,92782
16,26.166666666666668,80.25,94648
17,73.33333333333333,84.5,86614
18,50.333333333333336,83.5,89937
